category,style_name,visual_weight,corner_radius,shadow_style,spacing_base,keywords
health,Clean Vitality,light,16,soft,8,"health wellness fitness tracking activity medical calm"
health,Medical Professional,medium,12,none,8,"hospital clinic doctor patient records medical professional"
finance,Bold Dashboard,heavy,12,elevated,8,"finance banking investment portfolio stocks crypto trading"
finance,Minimal Finance,light,8,none,4,"budget expense savings simple minimal money"
productivity,Structured Focus,medium,10,subtle,8,"productivity task todo calendar schedule planner organize"
productivity,Minimal Workspace,light,8,none,4,"notes writing workspace clean focus minimal"
social,Vibrant Social,heavy,20,soft,4,"social chat messaging feed community friends"
social,Content Feed,medium,16,subtle,8,"photo video content sharing stories timeline"
lifestyle,Warm Organic,medium,16,soft,8,"lifestyle recipe cooking travel journal diary wellness"
lifestyle,Editorial Magazine,heavy,0,none,8,"magazine editorial blog reading articles news"
education,Playful Learning,medium,20,soft,8,"education learning quiz course student study language"
education,Academic Structured,light,8,none,4,"academic research reference textbook university"
entertainment,Immersive Media,heavy,12,elevated,4,"entertainment music movie streaming media gaming"
entertainment,Playful Interactive,heavy,24,soft,4,"game play interactive fun casual arcade"
utility,System Native,light,10,none,8,"utility calculator converter timer weather tools settings"
utility,Dashboard Control,medium,12,subtle,8,"dashboard monitor control panel smart home IoT"
