text_style,font_weight,size_pt,line_height_pt,swiftui_font,category_override,keywords
largeTitle,bold,34,41,.largeTitle,,"large title header hero"
title,bold,28,34,.title,,"title section header"
title2,bold,22,28,.title2,,"subtitle section"
title3,semibold,20,25,.title3,,"subsection header"
headline,semibold,17,22,.headline,,"headline emphasis"
body,regular,17,22,.body,,"body text content paragraph"
callout,regular,16,21,.callout,,"callout supporting"
subheadline,regular,15,20,.subheadline,,"subheadline secondary"
footnote,regular,13,18,.footnote,,"footnote caption small"
caption,regular,12,16,.caption,,"caption label"
caption2,regular,11,13,.caption2,,"caption2 tiny"
largeTitle,heavy,34,41,.largeTitle.weight(.heavy),entertainment,"entertainment media bold"
title,black,28,34,.title.weight(.black),entertainment,"entertainment title impact"
headline,bold,17,22,.headline.weight(.bold),finance,"finance headline numbers"
body,medium,17,22,.body.weight(.medium),education,"education readable content"
caption,medium,12,16,.caption.weight(.medium),utility,"utility labels data"
largeTitle,light,34,41,.largeTitle.weight(.light),lifestyle,"lifestyle elegant thin"
title,light,28,34,.title.weight(.light),lifestyle,"lifestyle title elegant"
headline,medium,17,22,.headline.weight(.medium),health,"health clean readable"
body,regular,17,22,.body,health,"health body content"
subheadline,medium,15,20,.subheadline.weight(.medium),productivity,"productivity structured"
footnote,medium,13,18,.footnote.weight(.medium),finance,"finance small data numbers"
