effect_name,effect_type,swiftui_modifier,ios_min_version,category,keywords
SpringAnimation,animation,".animation(.spring(response:0.5 dampingFraction:0.8))",15,"all","spring bounce animation natural"
EaseInOut,animation,".animation(.easeInOut(duration:0.3))",15,"all","ease smooth transition"
InteractiveSpring,animation,".animation(.interactiveSpring)",15,"all","interactive gesture drag spring"
GlassEffect,material,".glassEffect()",26,"all","glass blur translucent liquid iOS26"
UltraThinMaterial,material,".background(.ultraThinMaterial)",15,"all","blur frosted background material"
RegularMaterial,material,".background(.regularMaterial)",15,"all","material blur background"
SoftShadow,shadow,".shadow(color:.black.opacity(0.1) radius:8 y:4)",15,"health lifestyle education","soft shadow subtle elevation"
ElevatedShadow,shadow,".shadow(color:.black.opacity(0.15) radius:16 y:8)",15,"finance entertainment","elevated shadow card depth"
InnerShadow,shadow,".overlay(RoundedRectangle().stroke().shadow(.inner(radius:4)))",17,"utility productivity","inner shadow inset depth"
HapticLight,haptic,"UIImpactFeedbackGenerator(style:.light).impactOccurred()",15,"all","haptic light tap feedback"
HapticMedium,haptic,"UIImpactFeedbackGenerator(style:.medium).impactOccurred()",15,"all","haptic medium press feedback"
HapticSuccess,haptic,"UINotificationFeedbackGenerator().notificationOccurred(.success)",15,"all","haptic success complete notification"
ScalePress,interaction,".scaleEffect(isPressed ? 0.95 : 1.0)",15,"social entertainment","scale press button interaction"
RotationEffect,interaction,".rotation3DEffect(.degrees(angle) axis:(x:0 y:1 z:0))",15,"entertainment education","rotation 3D flip card"
ParallaxScroll,interaction,".offset(y: scrollOffset * 0.5)",15,"lifestyle entertainment","parallax scroll header image"
MatchedGeometry,transition,".matchedGeometryEffect(id:in:)",15,"all","matched geometry hero transition"
SlideTransition,transition,".transition(.move(edge:.trailing))",15,"all","slide move transition navigation"
OpacityTransition,transition,".transition(.opacity)",15,"all","fade opacity transition appear"
SensoryFeedback,haptic,".sensoryFeedback(.impact on:trigger)",17,"all","sensory feedback modern haptic iOS17"
SymbolEffect,animation,".symbolEffect(.bounce)",17,"all","symbol effect SF animate iOS17"
